Source String,Target String,Predicted String
nirdhaarinchaadu,నిర్ధారించాడు,నిర్ధారించాడు
jeffersonville,జెఫర్సన్విల్,జెఫర్సన్్్విల్ల
tiwari,తివారి,తివారి
dhishaa,దిశా,ధిషా
durgavansh,దుర్గవంష్,దుర్గావా్్్
chikkati,చిక్కటి,చిక్కటి
prozect,ప్రాజెక్ట్,ప్రోజెక్ట్
ladakh,లడఖ్,లదాఖ్
darmapuri,ధర్మపురి,దర్మాపరి
behuria,బెహూరియా,బెహురియా
samudramulo,సముద్రములో,సముద్రములో
olympia,ఒలింపియా,ఒల్మ్పియా
tanikhilu,తనిఖీలు,తనిఖిలు
mantapamu,మంటపము,మంటపము
caart,కార్ట్,కార్ర్ట్
oorugallunu,ఓరుగల్లును,ఊరుగల్లును
criyalu,క్రియలు,క్రియాలు
ivvaalanna,ఇవ్వాలన్న,ఇవ్వాలన్న
nirnayamtho,నిర్ణయంతో,నిర్ణయంతో
brahmaanda,బ్రహ్మాండ,బ్రహ్మాంద
parinamistaaru,పరిణమిస్తారు,పరిణమిస్తారు
pacifica,పసిఫిక,పాసిఫికా
chengalpattu,చెంగల్పట్టు,చెంగల్పట్టు
pinni,పిన్ని,పిన్ని
behar,బెహర్,బెహర్
buldhana,బుల్ధనా,బుల్ధన
chinnadi,చిన్నది,చిన్నది
angikarinche,అంగీకరించే,అంగికరించే
praananga,ప్రాణంగా,ప్రాణంగ
vaivaswatha,వైవస్వత,వైవస్వత
truptimundu,తృప్తిముందు,తృప్తిముందు
daallaas,డల్లాస్,దాళ్ళాస్
whiski,విస్కీ,విస్కి
mishato,మిషతో,మిషతో
compose,కంపోజ్,కాపోజ్
utilities,యుటిలిటీస్,అటిలిిీస్
viiriddarinii,వీరిద్దరినీ,వీరిద్దరినీ
frederick,ఫ్రెడరిక్,ఫ్రెడెరిక్
prabho,ప్రభో,ప్రభో
gnaapamgaa,జ్ఞాపంగా,జ్ఞాపంగా
mathew,మాథ్యూ,మాేవ్
madrasuku,మద్రాసుకు,మద్రసుకు
katihar,కటిహర్,కటిహార్
heeraakood,హీరాకూడ్,హీరాకూడ్
nobul,నోబుల్,నోబుల్
dharpanam,దర్పణం,ధర్పనం
annintinii,అన్నింటినీ,అన్నింటినీ
uttarakoriyaa,ఉత్తరకొరియా,ఉత్తరకోరియా
vondala,వొందల,వొండల
yedhurkonendhuku,ఎదుర్కొనేందుకు,ఏేధుర్కొనేందుకు
digudu,దిగుడు,దిగుడు
lancaster,లన్కాస్టర్,లాకాకాస్టర్
undo,ఉందో,ఉండో
yemmiganur,ఎమ్మిగనూర్,యమమ్మిగాన్
poll,పోల్,పోల్ల
saiqil,సైకిల్,సైవిల్
sanoop,సనూప్,సనూప్
freeman,ఫ్రీమ్యాన్,ఫ్రీమాన్
chaddi,చద్ది,చద్ది
gurnani,గుర్ణని,గుర్ణాని
akolkar,అకోల్కర్,అకోల్కర్
gilmore,గిల్మోర్,గిల్మోర్
teesenduku,తీసేందుకు,తీసేందుకు
manasulone,మనసులోనే,మనసులోనే
kadhalugaa,కధలుగా,కధలుగా
prachaaraamsham,ప్రచారాంశం,ప్రచారాంశం
whistle,విజిల్,విస్ట్లె
prateecharyalo,ప్రతీచర్యలో,ప్రతీచర్యలో
saanukoolata,సానుకూలత,సానుకూలత
aerpadaka,ఏర్పడక,ఏర్పడక
syracuse,సైరక్యూస్,సిరాక్స్
rasindi,రాసింది,రాసింది
saralatha,సరళత,సరలత
boksing,బాక్సింగ్,బోక్సింగ్
vydyamlo,వైద్యంలో,వైద్యంలో
oraacle,ఒరాకిల్,ఒరాక్లే
chha,ఛ,చాహా
aemaathram,ఏమాత్రం,ఏమాత్రం
sabhalloo,సభల్లో,సభల్లో
costa,కోస్తా,కాస్టా
varninchukuntunnaaru,వర్ణించుకుంటున్నారు,వర్ణించుకుంటున్నారు
fluuid,ఫ్లూయిడ్,ఫ్లూడి్
cheppay,చెప్పే,చెప్పా
daaktarugaa,డాక్టరుగా,దాక్తరుగా
ghatane,ఘటనే,ఘటనే
raallapalli,రాళ్ళపల్లి,రాళ్లపల్లి
poosi,పూసి,పూసి
bhatnagar,భట్నాగర్,భత్నగర్
kalugadu,కలుగదు,కలుగగా
parishkarinchenduku,పరిష్కరించేందుకు,పరిష్కరించేందుకు
vijayamu,విజయము,విజయము
charithrakaarula,చరిత్రకారుల,చరిత్రకారుల
podhupunu,పొదుపును,పోధుపును
azhar,అజహర్,అజార్
natistuunee,నటిస్తూనే,నటిస్తూనే
coimbatore,కోయంబత్తూర్,కాయిబాటేర్
rudraa,రుద్రా,రుద్రా
sanchaara,సంచార,సంచార
sofhiya,సోఫియా,సోఫియా
sareeramlooki,శరీరంలోకి,సరీరంలోకి
mandalini,మండలిని,మండలిని
ketkhup,కెచప్,కెట్కుప్
kachheri,కచ్చేరీ,కచరచిి
dheepaala,దీపాల,దీపాల
paibhaagaanni,పైభాగాన్ని,పైభాగాన్ని
tallidandrulato,తల్లిదండ్రులతో,తల్లిదండ్రులతో
shoes,షూస్,షోస్
shaw,షా,షావ్
maakiitopaatu,మాకీతోపాటు,మాకీతోపాటు
magavaallu,మగవాళ్ళు,మగవాళ్లు
imtaku,ఇంతకు,ఇంతకు
sambhaashanalalo,సంభాషణలలో,సంభాషనలలో
pope,పోప్,పోపే
taggipoyaayi,తగ్గిపోయాయి,తగ్గిపోయాయి
phenix,ఫీనిక్స్,ఫెనిక్స్
dhelleeni,ఢిల్లీని,ధెల్లీని
madraasuloo,మద్రాసులో,మద్రాసులో
yogyudagunu,యోగ్యుడగును,యోగ్యుడగును
teere,తీరే,తీరే
swain,స్వెయిన్,స్వైయిన్
theesiveyadaniki,తీసివేయడానికి,తీసివేయడడనికి
jaateeyasthaayilo,జాతీయస్థాయిలో,జాతీయస్థాయిలో
stets,స్టేట్స్,స్టెట్స్
pottaloo,పొట్టలో,పొట్టలో
navvulaatani,నవ్వులాటని,నవ్వులాటని
radha,రాధ,రాధా
koppadataarani,కోప్పడతారని,కొప్పడటారని
cortes,కోర్టెస్,కార్టెస్
pratipabha,ప్రతిపభ,ప్రతిపభ
sathyamgaa,సత్యంగా,సత్యంగా
vyarthamavutunnaayi,వ్యర్థమవుతున్నాయి,వ్యర్థమవుతున్నాయి
pyramid,పిరమిడ్,పైరామిద్
manchikanti,మంచికంటి,మంచికంటి
bantito,బంతితో,బంటితో
delhiki,ఢిల్లీకి,దేలికి
eastvale,ఎస్త్వలే,ఈస్త్వేలే
pettoddani,పెట్టొద్దని,పెట్టొద్దని
bishnupur,బిష్ణుపూర్,బిష్నుపూర్
fairfield,ఫెయిర్ఫీల్డ్,ఫెయిర్ఫిల్డ్
mantakalustunnayi,మంటకలుస్తున్నాయి,మంటకలుస్తున్నాయి
reservation,రిజర్వేషన్,రిసర్వవషన్
nivasanni,నివాసాన్ని,నివాన్ని
pinganaashtakamu,పింగనాష్టకము,పింగనాష్టకము
avery,అవెరీ,అవెర
uttarayanamu,ఉత్తరాయణము,ఉత్తరయయణము
purapaalaka,పురపాలక,పురపాలక
nishedhinchaadu,నిషేధించాడు,నిషేధించాడు
shaeru,షేరు,షేరు
minerals,మినరల్స్,మినరరల్స్
rajamandri,రాజమండ్రి,రాజమంద్రి
deevaalayamunu,దేవాలయమును,దీవాలయమును
vishwasaneeyatha,విశ్వసనీయత,విశ్వసనీయత
darilone,దారిలోనే,దరరిలోనే
criyalaku,క్రియలకు,క్రియాలకు
logistics,లాజిస్టిక్స్,లోజిస్టిక్స్
rogalu,రోగాలు,రోగాల
balaheenathalanu,బలహీనతలను,బలహీనతలను
thannina,తన్నిన,తన్నిన
nyaayanirnetagaa,న్యాయనిర్ణేతగా,న్యాయనిర్ణేతగా
chadunuga,చదునుగా,చదునుగా
visheshanam,విశేషణం,విషేషణం
jagaragallu,జాగరాగల్లు,జగరగల్లు
jeens,జీన్స్,జీన్స్
richaa,రిచా,రిచా
praantaala,ప్రాంతాల,ప్రాంతాల
yenda,ఎండ,యెండా
swaralu,స్వరాలు,స్వరాలు
elina,ఏలిన,ఎలిన
unchaali,ఉంచాలి,ఉంచాలి
shathakam,శతకం,శతకం
raapid,రాపిడ్,రాపిడ్
tesukelutunnaamani,తీసుకెళుతున్నామని,తేసుకెలుతున్నామని
pradarshistunnada,ప్రదర్శిస్తున్నాడా,ప్రదర్శిస్తున్నాడ
penchukunenduku,పెంచుకునేందుకు,పెంచుకునేందుకు
fortis,ఫోర్టిస్,ఫార్టిస్
tanakuu,తనకూ,తనకూ
yuddavimaanaallo,యుద్ధవిమానాల్లో,యుద్దవిమానాల్లో
nethaajelo,నేతాజీలో,నేతాజేలో
panicheyinchukunnaarani,పనిచేయించుకున్నారని,పనిచేయించుకున్నారని
spirits,స్పిరిట్స్,స్పిరిట్స్
bhayaanakamgaa,భయానకంగా,భయానకంగా
doopideelu,దోపిడీలు,దూపిదీలు
prakatinchadamloni,ప్రకటించడంలోని,ప్రకటించడంలోని
maharashtra,మహారాష్ట్ర,మహారాష్ట్ర
cheppisthondani,చెప్పిస్తోందని,చెప్పిస్తోందని
soto,సోతో,సోటో
dinchanunnadi,దించనున్నది,దించనున్నది
larson,లార్సన్,లార్సన్
kundabaddalu,కుండబద్దలు,కుండబడ్డలు
dev,దేవ్,డేవ్
antaristaaru,అంతరిస్తారు,అంతరిస్తారు
koojaa,కూజా,కూజా
perkonandi,పేర్కొనండి,పేర్కొనంది
gehlot,గెహ్లాట్,గెహ్లోట్
duradrushtavashaattu,దురదృష్టవశాత్తు,దురదృష్టవశాత్తు
dallaas,డల్లాస్,డల్లాస్
sangatini,సంగతిని,సంగతిని
marks,మార్క్స్,మార్క్స్
feedeeration,ఫెడరేషన్,ఫీడీరేషన్
teesukupovadaaniki,తీసుకుపోవడానికి,తీసుకుపోవడానికి
daggarloeni,దగ్గర్లోని,దగ్గర్లోని
chandernagore,చండర్నగర్,చందర్నగోర్
nalo,నాలో,నలో
vyooharachanalloonoo,వ్యూహరచనల్లోనూ,వ్యోహరచనల్లోనూ
leraa,లేరా,లేరా
thathvavethalu,తత్వవేత్తలు,తత్వవేతలు
kansal,కాన్సల్,కన్సా్
vaenkatasaastri,వేంకటశాస్త్రి,వేంకటసాస్త్రి
churchilalo,చర్చిలలో,చూర్చిలలో
naaz,నాజ్,నాజ్
charchinchadaniki,చర్చించడానికి,చర్చించడననికి
nainital,నైనిటాల్,నైనితల్
bannari,బణ్ణారి,బన్నారి
vibhoodhi,విభూది,విభూధి
taati,తాటి,తాటి
guwahati,గౌహతి,గువాహతి
inappatikee,ఐనప్పటికీ,ఇనప్పటికీ
cheppalekapoyaru,చెప్పలేకపోయారు,చెప్పలేకపోయారు
leduraa,లేదురా,లేదురా
aromatics,అరొమ్యటిక్స్,ఆరోమాటిక్స్
ithivrutthaalu,ఇతివృత్తాలు,ఇతివృత్థాలు
kaasiloo,కాశీలో,కాసిలో
choosinatlayite,చూసినట్లయితే,చూసినట్లయితే
kaamredlu,కామ్రేడ్లు,కామ్రెడ్లు
keerti,కీర్తి,కీర్తి
rane,రానే,రానే
cheppinatlugaa,చెప్పినట్లుగా,చెప్పినట్లుగా
pravesinche,ప్రవేశించే,ప్రవేశించే
godhumalanu,గోధుమలను,గోధుమలను
daman,డామన్,దామనన
thalapimchey,తలపించే,తలపించేయ్
hydrocarba,హైడ్రోకార్బ,హైడ్రోకారబబ
vitthanam,విత్తనం,విత్తనం
theesukookundaa,తీసుకోకుండా,తీసుకోకుండా
sind,సింద్,సిండ్
kalraa,కలరా,కల్రా
gosangi,గోసంగి,గోసంగి
sheershikaku,శీర్షికకు,శీర్షికకు
teelchadam,తేల్చడం,తీల్చడం
betul,బెటుల్,బెటుల్
dibrugarh,డిబ్రూగర్,డిబ్రుగర్హ
kochi,కొచ్చి,కొచి
heal,హీల్,హీలల్
watson,వాట్సన్,వాట్సన్
naayaku,నాయకు,నాయకు
todella,తోడేళ్ళ,తోడెల్ల
washington,వాషింగ్టన్,వాషింగ్టన్
waagwaadaaniki,వాగ్వాదానికి,వాగ్వాదానికి
urdulo,ఉర్దూలో,ఉర్దులో
asthramulu,అస్త్రములు,అస్త్రములు
poshinchaannaaru,పోషించాన్నారు,పోషించాన్నారు
khandinchi,ఖండించి,ఖండించి
divyamyna,దివ్యమైన,దివ్యమ్న
pramanamulu,ప్రమాణములు,ప్రమణమమలలు
jaipur,జైపూర్,జైపూర్
paeda,పేడ,పేదా
kashtamie,కష్టమై,కష్టమీ
cheppalani,చెప్పాలని,చెప్పాలని
rendintalu,రెండింతలు,రెండింటలు
terapaina,తెరపైన,తెరపైన
andamunu,అందమును,అందమును
muulikaa,మూలికా,మూలికా
portillo,పోర్టిల్లో,పోర్టిల్లో
telchindi,తేల్చింది,తేల్చింది
melin,మేలిన్,మెలిన్
moradabad,మొరాదాబాద్,మొరడబడ్డ్
amer,అమీర్,అమెర
vyavaharistondani,వ్యవహరిస్తోందని,వ్యవహరిస్తోందని
phaaloo,ఫాలో,ఫాలో
niraakarinchataanni,నిరాకరించటాన్ని,నిరాకరించటాన్ని
pandagaa,పండగా,పండగా
jarnalistulanu,జర్నలిస్టులను,జర్నలిస్తులను
sijanlo,సీజన్లో,సిజన్లో
praarambhinchaaranna,ప్రారంభించారన్న,ప్రారంభించారన్న
hassan,హాసన్,హస్సన్
ganibavinchi,ఘనీభవించి,గణిబవవించి
bathroomloni,బాత్రూంలోని,బత్రూంలోని
sarvasabhya,సర్వసభ్య,సర్వసభ్య
laen,లేన్,లేన్
maddox,మ్యడ్డాక్స్,మదడ్క్స్స్
vestunnaarenti,వేస్తున్నారేంటి,వేస్తున్నారేంటి
paasta,పాస్తా,పాస్త
taaraabaasov,తారాబాసోవ్,తారాబాసోవ్
phalitaalato,ఫలితాలతో,ఫలితాలతో
shmashanavatika,శ్మశానవాటిక,శ్మశనవతిిక
rajahmundry,రాజమండ్రి,రాజా్ముంద్ర
yerpadenduku,ఏర్పడేందుకు,ఏర్పడేందుకు
paalpadindi,పాల్పడింది,పాల్పడింది
vintuu,వింటూ,వింటూ
paruvupoyi,పరువుపోయి,పరువుపోయి
inc,ఇంక్,ఇన్స్ఎ్
piji,పిజి,పిజి
rockford,రాక్ఫోర్డ్,రాక్ఫార్డ్
mayuuram,మయూరం,మయూరరం
agnipramaadam,అగ్నిప్రమాదం,అజ్నిప్రమాదం
adhyayanamu,అధ్యయనము,అధ్యయననము
dopidiki,దోపిడీకి,దోపిడికి
chanakya,చాణక్య,చనక్య
utthamamgaa,ఉత్తమంగా,ఉత్తమంగా
viswasaniiyamgaa,విశ్వసనీయంగా,విశ్వసనీయంగా
dongala,దొంగలా,దొంగల
devalayam,దేవాలయం,దేవాలయం
dhadito,దాడితో,ధడితో
miller,మిల్లెర్,మిలర్ర
kunuku,కునుకు,కునుకు
geraald,గెరాల్డ్,గెరాల్డ్
marche,మార్చే,మార్చే
innayya,ఇన్నయ్య,ఇన్నయ్య
undho,ఉందో,ఉంధో
unnadi,ఉన్నది,ఉన్నది
muulikala,మూలికల,మూలికల
dopidee,దోపిడీ,దోపిడీ
saralata,సరళత,సరలతట
bhatt,భట్,భట్ట్
yamakinkarulu,యమకింకరులు,యమకకింకరులు
vishwaasaalanu,విశ్వాసాలను,విశ్వాసాలను
impugaa,ఇంపుగా,ఇంపుగా
cheppukonnappatiki,చెప్పుకొన్నప్పటికీ,చెప్పుకొన్నప్పటికీ
bengaluru,బెంగళూరు,బెంగలూరు
dayton,డేటన్,డయట్న్
mudadugula,మూడడుగుల,ముడదుగుల
vilekharulato,విలేఖరులతో,విలేఖరులతో
raaninchaadu,రాణించాడు,రానించాడు
ochoa,ఒచోవా,ఒచోచా
kakeseeaar,కకేసీఆర్,కకకేసీయర్
september,సెప్టెంబర్,సెప్టెం్ర్
hastal,హాస్టల్,హస్తాల్
divaan,దివాన్,డివాన్
gutti,గుట్టి,గుట్టి
panchakamu,పంచకము,పంచకము
berlin,బెర్లిన్,బెర్లిన్
sangli,సంగ్లీ,సంగ్లి
holidays,హాలిడేస్,హోలిడాయ్స్
dahlan,డహ్లాన్,దహ్లన్
len,లేన్,లెన్
dhvaninche,ధ్వనించే,ధ్వనించే
nerasthulaku,నేరస్థులకు,నేరస్థులకు
vinaayakudu,వినాయకుడి,వినాయకుడు
gaayanii,గాయనీ,గాయనీ
chotulo,చోటులో,చోటులో
sanghaaniki,సంఘానికి,సంఘానికి
chaeyunu,చేయును,చేయును
gurtinchadagga,గుర్తించదగ్గ,గుర్తించడగ్గ
flynn,ఫ్లిన్,ఫ్లైన్
raajadhaanulu,రాజధానులు,రాజధానులు
pasco,పాస్కో,పాసాకో
eeloogaa,ఈలోగా,ఈలోగా
nersthulanu,నేరస్థులను,నేర్స్థులను
diviteeni,దివిటీని,దివితీని
funk,ఫంక్,ఫంక్
vijayaalanu,విజయాలను,విజయాలను
yellu,ఏళ్లు,యల్లు
mehra,మెహ్రా,మెహ్ర
chebutunnaamane,చెబుతున్నామనే,చెబుతున్నామనే
carey,క్యారీ,కారే
madikeri,మదికెరి,మాడకేరరి
cheetu,చేటు,చీతు
darakhaastulu,దరఖాస్తులు,దరఖాస్తులు
prasaaraalaku,ప్రసారాలకు,ప్రసారాలకు
aghaani,అజ్ఞాని,అఘాని
keerthini,కీర్తిని,కీర్తిని
sampradinchaaru,సంప్రదించారు,సంప్రదించారు
podachupayi,పొడచూపాయి,పొడచుపాయి
shobhitudai,శోభితుడై,శోభితుడై
aalochistunnaamannaaru,ఆలోచిస్తున్నామన్నారు,ఆలోచిస్తున్నామన్నారు
reputunnaayi,రేపుతున్నాయి,రేపుతున్నాయి
anyapadesamga,అన్యాపదేశంగా,అన్యపపేశశంగా
raajavvato,రాజవ్వతో,రాజవ్వతో
dhaanya,ధాన్య,ధాన్య
telamgaanham,తెలంగాణం,తెలంగాణం
vedamunu,వేదమును,వేదమును
katnam,కట్నం,కట్నం
sthaapistunnayi,స్థాపిస్తున్నాయి,స్థాపిస్తున్నాయి
nerolac,నేరోలాక్,నెరోలాక్
tcns,టీసిఎన్ఎస్,టీసీఎస్స్
tisukellindani,తీసుకెళ్ళిందని,తిసుకెళ్లిందని
pramaanhaalloe,ప్రమాణాల్లో,ప్రమాణాల్లో
germanlu,జర్మన్లు,గర్మన్లు
mahaadhevi,మహాదేవి,మహాధేవే
anusandhaanamai,అనుసంధానమై,అనుసంధానమై
moote,మోతే,మూటే
jeykumaran,జేకుమారణ్,జెక్యుమారన్
sacramento,శాక్రమెంటో,సా్రామంంటో
sarjari,సర్జరీ,సర్జరరి
vivaralu,వివరాలు,వివరాలు
digaadu,దిగాడు,దిగాడు
contracts,కాంట్రాక్ట్స్,కాట్రాక్ట్స్
sirshikanu,శీర్షికను,సిర్షికను
traagatam,త్రాగటం,త్రాగతం
boca,బోకా,బోకా
jaraganundi,జరగనుంది,జరగనుంది
cheppinantatikee,చెప్పినంతటికీ,చెప్పినంతటికీ
maargamlone,మార్గంలోనే,మార్గంలోనే
vidhaalaina,విధాలైన,విధాలైన
sileendraalu,శిలీంద్రాలు,సిలేంద్రాలు
dharjee,దర్జీ,ధర్జీ
mentor,మెంటర్,మెంటర్
mani,మణి,మని
shreemahavishnuvu,శ్రీమహావిష్ణువు,శ్రీమహావి్్వు
baadhapaddaadu,బాధపడ్డాడు,బాధపడ్డాడు
ksheenataku,క్షీణతకు,క్షీణతకు
pravartinchewaallu,ప్రవర్తించేవాళ్ళు,ప్రవర్తించేవాళ్లు
baliga,బలిగా,బలిగగా
sarvooththama,సర్వోత్తమ,సర్వూత్తమ
avutu,అవుతూ,అవుతు
akron,అక్రొన్,అక్రోన్
teacheru,టీచరు,తీచర్
kaushik,కౌశిక్,కౌషిక్
saraikela,సరైకెల,సరైకెల
roberts,రోబర్ట్స్,రోబర్ట్స్
kanniyakumari,కన్నియాకుమారి,కన్నియకుమారి
haokip,హాకీప్,హాకిప్
kramamu,క్రమము,క్రమము
titan,టైటాన్,టిటాన్
bhuj,భూజ్,భుజ్
upayoginchukovaalannaaru,ఉపయోగించుకోవాలన్నారు,ఉపయోగించుకోవాలన్నారు
kampose,కంపోజ్,కంపోసే
sampadalunna,సంపదలున్న,సంపదలున్్న
narsimhulu,నర్సింహులు,నర్సింహులు
saralamgaa,సరళంగా,సరలంగా
delray,డెల్రే,డెల్రా
rashulu,రాశులు,రాషులు
naasthika,నాస్తిక,నాస్థిక
saekhara,శేఖర,సేఖర
aghnanapu,అజ్ఞానపు,అఘ్ననపు
penampai,పెనంపై,పెనంపై
tipputoo,తిప్పుతూ,తిప్పుతో
puraanhamu,పురాణము,పురాణము
dweshinchoddani,ద్వేషించొద్దని,ద్వేషించొద్దని
prakatimchabotunnatlu,ప్రకటించబోతున్నట్లు,ప్రకటించబోతున్నట్లు
naanudi,నానుడి,నానుడి
australia,ఆస్ట్రేలియా,ఆస్ట్రాలియా
lidhindi,లిదిండి,లిధింది
evadaite,ఎవడైతే,ఎవడైతే
kooganti,కోగంటి,కూగంతి
